date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:13	2978/2978	------	200	untouched ('OK')	image/svg+xml	etag:%220x8DAB22FEC14DCA0%22	https://www.navyfederal.org/content/dam/icons/two-tone/cash-and-coins/check-dollars.svg	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/icons/two-tone/cash-and-coins/check-dollars.svg	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	79876/79876	------	200	untouched ('OK')	text/html	etag:W/%2213791-604e595e82649-gzip%22	https://www.navyfederal.org/checking-savings/checking/everyday-checking.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/everyday-checking.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	32727/32727	------	200	untouched ('')	application/pdf	etag:%220x8DB83E2F227C002%22	https://www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401c_everyday_checking.pdf	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401c_everyday_checking.pdf	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	283/283	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202023%2004:34:27%20GMT	https://www.navyfederal.org/loans-cards/auto-loans/auto-refinance-rates	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/loans-cards/auto-loans/auto-refinance-rates.139.delayed	(from https://www.navyfederal.org/loans-cards/auto-loans.html)
01:46:13	1648/1648	------	200	untouched ('OK')	image/svg+xml	etag:%220x8DAB2300C636638%22	https://www.navyfederal.org/content/dam/icons/two-tone/cash-and-coins/money-arrow.svg	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/icons/two-tone/cash-and-coins/money-arrow.svg	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	81285/81285	------	200	untouched ('OK')	text/html	etag:%2213d12-604e556aea5ac-gzip%22	https://www.navyfederal.org/checking-savings/checking/flagship-checking.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/flagship-checking.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	32683/32683	------	200	untouched ('')	application/pdf	etag:%220x8DB83E2F2194331%22	https://www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401d_flagship_checking.pdf	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/nfculibs/pdfs/checking/401d_flagship_checking.pdf	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	60065/60065	------	200	untouched ('OK')	text/html	etag:W/%22ea2e-604e59612ad31-gzip%22	https://www.navyfederal.org/checking-savings/checking/resources/how-to-switch-checking.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/resources/how-to-switch-checking.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	75010/75010	------	200	untouched ('OK')	text/html	etag:%221248f-604e562602ea8-gzip%22	https://www.navyfederal.org/services/business/checking-savings.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/services/business/checking-savings.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	65239/65239	------	200	untouched ('OK')	text/html	etag:W/%22fe64-604e5962aa604-gzip%22	https://www.navyfederal.org/checking-savings/checking/resources/direct-deposit.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/resources/direct-deposit.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	62679/62679	------	200	untouched ('OK')	text/html	etag:W/%22f464-604e5963d18c1-gzip%22	https://www.navyfederal.org/services/transfers/add-money.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/services/transfers/add-money.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	67195/67195	------	200	untouched ('OK')	text/html	etag:W/%2210608-604e5965603c5-gzip%22	https://www.navyfederal.org/checking-savings/checking/resources.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/checking/resources.html	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	34333/34333	------	200	untouched ('')	application/javascript	etag:W/%22861d-2386f26fb1bdc0-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-fullWidth.lc-8527c6264a2fe2ce736e71e58f5efd6d-lc.min.js	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfo/clientlibs/uife/clientlib-uife-fullWidth.lc-8527c6264a2fe2ce736e71e58f5efd6d-lc.min.js	(from https://www.navyfederal.org/checking-savings/checking.html)
01:46:13	65304/65304	------	200	untouched ('OK')	text/html	etag:W/%22fea5-604e59673e06e-gzip%22	https://www.navyfederal.org/checking-savings/savings/emergency-fund.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/savings/emergency-fund.html	(from https://www.navyfederal.org/checking-savings/savings.html)
01:46:13	65578/65578	------	200	untouched ('OK')	text/html	etag:W/%22ffb7-604e596809665-gzip%22	https://www.navyfederal.org/makingcents/savings-budgeting/emergency-fund.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/makingcents/savings-budgeting/emergency-fund.html	(from https://www.navyfederal.org/checking-savings/savings.html)
01:46:13	58502/58502	------	200	untouched ('OK')	text/html	etag:W/%22e413-604e596904de6-gzip%22	https://www.navyfederal.org/makingcents/tools/savings-goal-calculator.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/makingcents/tools/savings-goal-calculator.html	(from https://www.navyfederal.org/checking-savings/savings.html)
01:46:14	65499/65499	------	200	untouched ('OK')	text/html	etag:W/%22ff68-604e5969f8867-gzip%22	https://www.navyfederal.org/makingcents/savings-budgeting/make-saving-simpler.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/makingcents/savings-budgeting/make-saving-simpler.html	(from https://www.navyfederal.org/checking-savings/savings.html)
01:46:14	60130/60130	------	200	untouched ('OK')	text/html	etag:W/%22ea6f-604e596b0da13-gzip%22	https://www.navyfederal.org/checking-savings/savings/savings-basics.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/checking-savings/savings/savings-basics.html	(from https://www.navyfederal.org/checking-savings/savings.html)
